"Utilized_Write_IOPS","Provisioned_BW_MBps","Provisioned_IOPS","Utilized_Read_IOPS","VirtualNetwork","Utilized_Read_Avg_BW_MBps","AvailabilityZone","OperatingSystem","DiskSKU","Utilized_Write_Avg_BW_MBps","DataDiskName","Location","Utilized_Write_Max_BW_MBps","SizeGB","VMName","Utilized_Read_Max_BW_MBps"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-pt-rq-win_OsDisk_1_940f980799434afbb9214e4daf2fee1f","westus2","0","127","gso-pt-rq-win","0"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Linux","Standard_LRS","0","gso-pt-jc-lin_OsDisk_1_a26da0a3ca77487380978082448a01c3","westus2","0","30","gso-pt-jc-lin","0"
"12.35138888888889","100","500","2.088888888888889","gso-core-westus2-vnet","0.19234014153480525","1","Windows","StandardSSD_LRS","0.4361485117011599","vbr-za_OsDisk_1_4287277efd84459eba21e432a40582f8","westus2","2.8653061707814533","127","vbr-za","2.6618948777516684"
"0.996527777777778","125","4211","9.203472222222222","gso-core-westus2-vnet","0.36987933119138083","1","Linux","PremiumV2_LRS","0.23719300495253662","gso-cbs-azure-ssd-11","westus2","0.2799680709838867","256","gso-cbs-azure-ct1","0.7400395393371582"
"13.513888888888891","100","500","34.79305555555556","gso-core-westus2-vnet","0.7682421505451204","1","Windows","StandardSSD_LRS","0.2525820361243354","gso-cts-mr-win-4_OsDisk_1_ceea8245920c4b75935b3152fa11eaf1","westus2","1.0480616728464762","127","gso-cts-mr-win-4","2.3925246238708495"
"8.952777777777778","125","1100","0.5020833333333333","gso-core-westus2-vnet","0.07764818006091649","No Zone","Windows","Premium_LRS","0.20027197400728858","gso-cvdemo-cs_OsDisk_1_ab30723cee1345a6b72f92da6485bf6c","westus2","0.6068166891733805","256","gso-cvdemo-cs","0.6364027341206868"
"4.099999999999999","60","500","0.006944444444444445","gso-core-westus2-vnet","0.013449249664942419","No Zone","Windows","Standard_LRS","0.09989730119705202","gso-fsa-ds-win_OsDisk_1_5605b6ce046e45c7841adad1fc0da6f0","westus2","0.7021941026051839","127","gso-fsa-ds-win","0.020885499318440755"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Linux","Standard_LRS","0","gso-pt-mb-lin_OsDisk_1_0c8f2ce926254cfca0ccdd2ae78436a5","westus2","0","30","gso-pt-mb-lin","0"
,"60","500",,"gso-core-westus2-vnet","0","1","Windows","Standard_LRS","0","gsa-fsa-js-win2_disk1_9f671db401024470b6c12e54eb425454","westus2","0","127","gsa-fsa-js-win2","0"
"0.9972222222222223","125","4211","9.086805555555555","gso-core-westus2-vnet","0.3708431912793053","1","Linux","PremiumV2_LRS","0.23658021556006537","gso-cbs-azure-ssd-10","westus2","0.2791361172993978","256","gso-cbs-azure-ct1","0.7290441830952962"
,"100","500",,"gso-fsa-mc-southeastasia-vnet01","0","1","Linux","StandardSSD_LRS","0","gso-fsa-mc-southeastasia-vnet-vm01_OsDisk_1_e79433ad1e8f47eba2f00a18fb58f5ba","southeastasia","0","30","gso-fsa-mc-southeastasia-vnet-vm01","0"
